======================================================================
Total cycles: 105068

Exclusive elapsed times for each method, not including time spent in
children, sorted by exclusive time.

    Usecs  self %  sum %  Method
      321    0.31  55.13  [105] android/view/ViewConfiguration.get (Landroid/content/Context;)Landroid/view/ViewConfiguration;
      315    0.30  55.43  [240] java/lang/ref/FinalizerReference.<init> (Ljava/lang/Object;Ljava/lang/ref/ReferenceQueue;)V
      313    0.30  55.73  [308] android/util/SparseArray.binarySearch ([IIII)I
      308    0.29  56.02  [304] android/view/View.skipInvalidate ()Z
      307    0.29  56.31  [166] android/view/View.resolvePadding ()V
      305    0.29  56.60  [112] android/graphics/drawable/NinePatchDrawable.setNinePatchState (Landroid/graphics/drawable/NinePatchDrawable$NinePatchState;Landroid/content/res/Resources;)V
      305    0.29  56.89  [47] android/widget/LinearLayout.<init> (Landroid/content/Context;Landroid/util/AttributeSet;I)V
      304    0.29  57.18  [160] android/view/ViewGroup.initFromAttributes (Landroid/content/Context;Landroid/util/AttributeSet;)V
      302    0.29  57.47  [89] android/graphics/drawable/NinePatchDrawable.<init> (Landroid/graphics/drawable/NinePatchDrawable$NinePatchState;Landroid/content/res/Resources;)V
      299    0.28  57.75  [111] com/android/internal/app/ActionBarImpl.init (Landroid/view/View;)V
      297    0.28  58.04  [233] android/view/View.setPadding (IIII)V
      294    0.28  58.32  [55] android/graphics/drawable/DrawableContainer$DrawableContainerState.<init> (Landroid/graphics/drawable/DrawableContainer$DrawableContainerState;Landroid/graphics/drawable/DrawableContainer;Landroid/content/res/Resources;)V
      287    0.27  58.59  [321] android/view/ContextThemeWrapper.getTheme ()Landroid/content/res/Resources$Theme;
      287    0.27  58.86  [77] android/view/ViewGroup.initViewGroup ()V
      287    0.27  59.14  [25] android/widget/FrameLayout.<init> (Landroid/content/Context;Landroid/util/AttributeSet;I)V
      285    0.27  59.41  [75] android/graphics/drawable/NinePatchDrawable$NinePatchState.newDrawable (Landroid/content/res/Resources;)Landroid/graphics/drawable/Drawable;
      279    0.27  59.67  [246] android/content/res/XmlBlock$Parser.next ()I
      274    0.26  59.93  [19] android/view/ViewGroup.<init> (Landroid/content/Context;Landroid/util/AttributeSet;I)V
      273    0.26  60.19  [328] android/sec/enterprise/RestrictionPolicy.<clinit> ()V
      272    0.26  60.45  [254] android/content/res/ColorStateList.getColorForState ([II)I
      272    0.26  60.71  [196] java/util/HashSet.contains (Ljava/lang/Object;)Z
      263    0.25  60.96  [205] java/util/HashMap.put (Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;
      257    0.24  61.21  [278] android/app/ContextImpl.getApplicationInfo ()Landroid/content/pm/ApplicationInfo;
      256    0.24  61.45  [88] android/widget/LinearLayout$LayoutParams.<init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
      251    0.24  61.69  [121] android/content/res/TypedArray.getValueAt (ILandroid/util/TypedValue;)Z
      248    0.24  61.92  [339] android/view/View.isOpaque ()Z
      247    0.24  62.16  [340] android/content/res/AssetManager.openNonAssetNative (ILjava/lang/String;I)I
      241    0.23  62.39  [173] android/content/res/XmlBlock$Parser.getName ()Ljava/lang/String;
      239    0.23  62.62  [29] android/content/res/TypedArray.getDrawable (I)Landroid/graphics/drawable/Drawable;
      237    0.23  62.84  [15] com/android/internal/policy/impl/PhoneLayoutInflater.onCreateView (Ljava/lang/String;Landroid/util/AttributeSet;)Landroid/view/View;
      236    0.22  63.07  [200] android/graphics/Matrix.<init> ()V
      233    0.22  63.29  [6] android/view/LayoutInflater.inflate (Lorg/xmlpull/v1/XmlPullParser;Landroid/view/ViewGroup;Z)Landroid/view/View;
      231    0.22  63.51  [100] android/view/View.resolveLayoutDirection ()V
      230    0.22  63.73  [130] android/content/pm/ApplicationInfo.<init> (Landroid/os/Parcel;)V
      229    0.22  63.95  [178] android/os/SystemProperties.getLong (Ljava/lang/String;J)J
      228    0.22  64.16  [219] android/content/ContextWrapper.getApplicationInfo ()Landroid/content/pm/ApplicationInfo;
      227    0.22  64.38  [291] android/app/Activity.onCreateView (Landroid/view/View;Ljava/lang/String;Landroid/content/Context;Landroid/util/AttributeSet;)Landroid/view/View;
      226    0.22  64.59  [318] android/view/View.onCreateDrawableState (I)[I
      225    0.21  64.81  [56] android/content/res/Resources.getCachedDrawable (Landroid/util/LongSparseArray;J)Landroid/graphics/drawable/Drawable;
      225    0.21  65.02  [225] android/view/ViewGroup.setPadding (IIII)V
      223    0.21  65.23  [355] java/lang/String.length ()I
      220    0.21  65.44  [59] android/view/ViewGroup.addView (Landroid/view/View;ILandroid/view/ViewGroup$LayoutParams;)V
      218    0.21  65.65  [91] android/view/View.getResolvedLayoutDirection ()I
      217    0.21  65.86  [224] java/lang/AbstractStringBuilder.append0 (Ljava/lang/String;)V
      214    0.20  66.06  [120] android/graphics/drawable/LayerDrawable$LayerState.<init> (Landroid/graphics/drawable/LayerDrawable$LayerState;Landroid/graphics/drawable/LayerDrawable;Landroid/content/res/Resources;)V
      213    0.20  66.26  [363] java/lang/VMClassLoader.findLoadedClass (Ljava/lang/ClassLoader;Ljava/lang/String;)Ljava/lang/Class;
      212    0.20  66.47  [281] android/os/Parcel.nativeReadStrongBinder (I)Landroid/os/IBinder;
      212    0.20  66.67  [243] android/util/SparseArray.put (ILjava/lang/Object;)V
      212    0.20  66.87  [191] android/view/View.invalidate ()V
      209    0.20  67.07  [184] android/app/ActionBar$LayoutParams.<init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
      209    0.20  67.27  [159] android/content/res/Resources.loadColorStateList (Landroid/util/TypedValue;I)Landroid/content/res/ColorStateList;
      209    0.20  67.47  [213] android/graphics/Paint.setTextLocale (Ljava/util/Locale;)V
      203    0.19  67.66  [368] android/content/res/TypedArray.getInt (II)I
      201    0.19  67.85  [371] android/content/res/Resources.getDisplayMetrics ()Landroid/util/DisplayMetrics;
      201    0.19  68.04  [372] android/content/res/XmlBlock.nativeNext (I)I
      199    0.19  68.23  [311] android/graphics/NinePatch.getWidth ()I
      199    0.19  68.42  [375] android/view/accessibility/AccessibilityManager.isEnabled ()Z
      198    0.19  68.61  [271] android/graphics/drawable/StateListDrawable$StateListState.indexOfStateSet ([I)I
      197    0.19  68.80  [290] android/graphics/NinePatch.getHeight ()I
      196    0.19  68.98  [238] java/lang/ClassLoader.findLoadedClass (Ljava/lang/String;)Ljava/lang/Class;
      191    0.18  69.16  [366] android/view/View.internalSetPadding (IIII)V
      189    0.18  69.34  [384] android/content/res/TypedArray.getResourceId (II)I
      188    0.18  69.52  [114] android/content/res/TypedArray.getColorStateList (I)Landroid/content/res/ColorStateList;
      188    0.18  69.70  [227] android/view/View.hasRtlSupport ()Z
      187    0.18  69.88  [236] android/graphics/drawable/DrawableContainer.selectDrawable (I)Z
      187    0.18  70.06  [221] java/lang/ThreadLocal.get ()Ljava/lang/Object;
      184    0.18  70.23  [230] android/os/Parcel.recycle ()V
      183    0.17  70.41  [168] android/view/View.computeOpaqueFlags ()V
