======================================================================
Total cycles: 105068

Exclusive elapsed times for each method, not including time spent in
children, sorted by exclusive time.

    Usecs  self %  sum %  Method
----------------------------------------------------
               100.0%    [7]      1/1             29 com/android/internal/policy/impl/PhoneWindow.generateLayout (Lcom/android/internal/policy/impl/PhoneWindow$DecorView;)Landroid/view/ViewGroup;
[656]    0.0%                     1+0             29 android/view/Window.clearFlags (I)V
                20.7%   excl                       6
                79.3%  [480]      1/3             23 android/view/Window.setFlags (II)V
----------------------------------------------------
               100.0%   [47]      3/3             29 android/widget/LinearLayout.<init> (Landroid/content/Context;Landroid/util/AttributeSet;I)V
[657]    0.0%                     3+0             29 android/widget/LinearLayout.setOrientation (I)V
                69.0%   excl                      20
                31.0%   [71]      2/92             9 android/view/View.requestLayout ()V
----------------------------------------------------
               100.0%  [283]      1/1             29 android/net/Uri.decode (Ljava/lang/String;)Ljava/lang/String;
[658]    0.0%                     1+0             29 libcore/net/UriCodec.decode (Ljava/lang/String;ZLjava/nio/charset/Charset;Z)Ljava/lang/String;
                58.6%   excl                      17
                41.4%  [353]      1/22            12 java/lang/String.indexOf (I)I
----------------------------------------------------
                75.0%  [266]      6/8             21 android/graphics/drawable/DrawableContainer$DrawableContainerState.getOpacity ()I
                25.0%  [447]      2/8              7 android/graphics/drawable/LayerDrawable$LayerState.getOpacity ()I
[659]    0.0%                     8+0             28 android/graphics/drawable/Drawable.resolveOpacity (II)I
               100.0%   excl                      28
----------------------------------------------------
               100.0%   [20]     10/10            28 android/content/res/Resources.loadDrawable (Landroid/util/TypedValue;I)Landroid/graphics/drawable/Drawable;
[660]    0.0%                    10+0             28 android/graphics/drawable/Drawable.setChangingConfigurations (I)V
               100.0%   excl                      28
----------------------------------------------------
               100.0%  [185]      2/2             28 android/content/pm/ProviderInfo.<init> (Landroid/os/Parcel;)V
[661]    0.0%                     2+0             28 android/os/Parcel.createTypedArray (Landroid/os/Parcelable$Creator;)[Ljava/lang/Object;
                39.3%   excl                      11
                60.7%  [145]      2/124           17 android/os/Parcel.readInt ()I
----------------------------------------------------
               100.0%  [516]      1/1             28 android/view/Display.<init> (ILandroid/view/CompatibilityInfoHolder;)V
[662]    0.0%                     1+0             28 android/view/Display.init (I)V
               100.0%   excl                      28
----------------------------------------------------
               100.0%   [67]      8/8             28 android/view/ViewGroup.addViewInner (Landroid/view/View;ILandroid/view/ViewGroup$LayoutParams;Z)V
[663]    0.0%                     8+0             28 android/widget/FrameLayout.checkLayoutParams (Landroid/view/ViewGroup$LayoutParams;)Z
               100.0%   excl                      28
----------------------------------------------------
               100.0%  [352]     10/10            28 android/text/TextUtils.indexOf (Ljava/lang/CharSequence;CI)I
[664]    0.0%                    10+0             28 java/lang/Object.getClass ()Ljava/lang/Class;
               100.0%   excl                      28
----------------------------------------------------
               100.0%  [221]     11/11            28 java/lang/ThreadLocal.get ()Ljava/lang/Object;
[665]    0.0%                    11+0             28 java/lang/ThreadLocal$Values.access$100 (Ljava/lang/ThreadLocal$Values;)I
               100.0%   excl                      28
----------------------------------------------------
               100.0%  [490]      2/2             27 android/content/res/XmlBlock$Parser.getAttributeValue (I)Ljava/lang/String;
[666]    0.0%                     2+0             27 android/content/res/XmlBlock.access$700 (II)I
                70.4%   excl                      19
                29.6%  [824]      2/2              8 android/content/res/XmlBlock.nativeGetAttributeStringValue (II)I
----------------------------------------------------
                88.9%   [52]     10/11            24 android/widget/ImageView.<init> (Landroid/content/Context;Landroid/util/AttributeSet;I)V
                11.1%  [655]      1/11             3 android/graphics/NinePatch.<init> (Landroid/graphics/Bitmap;[BLjava/lang/String;)V
[667]    0.0%                    11+0             27 android/graphics/RectF.<init> ()V
               100.0%   excl                      27
----------------------------------------------------
               100.0%   [22]      3/3             27 android/widget/TextView.<init> (Landroid/content/Context;Landroid/util/AttributeSet;I)V
[668]    0.0%                     3+0             27 android/view/View.setLongClickable (Z)V
                70.4%   excl                      19
                29.6%   [64]      3/72             8 android/view/View.setFlags (II)V
----------------------------------------------------
               100.0%  [582]      1/1             27 android/widget/FrameLayout.generateLayoutParams (Landroid/view/ViewGroup$LayoutParams;)Landroid/view/ViewGroup$LayoutParams;
[669]    0.0%                     1+0             27 android/widget/FrameLayout$LayoutParams.<init> (Landroid/view/ViewGroup$LayoutParams;)V
                48.1%   excl                      13
                51.9%  [760]      1/1             14 android/view/ViewGroup$MarginLayoutParams.<init> (Landroid/view/ViewGroup$LayoutParams;)V
----------------------------------------------------
               100.0%  [123]      6/6             27 android/widget/TextView.setText (Ljava/lang/CharSequence;Landroid/widget/TextView$BufferType;ZI)V
[670]    0.0%                     6+0             27 android/widget/TextView.removeSuggestionSpans (Ljava/lang/CharSequence;)Ljava/lang/CharSequence;
               100.0%   excl                      27
----------------------------------------------------
               100.0%  [111]      1/1             27 com/android/internal/app/ActionBarImpl.init (Landroid/view/View;)V
[671]    0.0%                     1+0             27 com/android/internal/view/ActionBarPolicy.get (Landroid/content/Context;)Lcom/android/internal/view/ActionBarPolicy;
                85.2%   excl                      23
                14.8%  [906]      1/1              4 com/android/internal/view/ActionBarPolicy.<init> (Landroid/content/Context;)V
----------------------------------------------------
                53.8%   [58]      5/10            14 android/view/View.setBackgroundDrawable (Landroid/graphics/drawable/Drawable;)V
                34.6%  [346]      4/10             9 android/widget/ImageView.updateDrawable (Landroid/graphics/drawable/Drawable;)V
                11.5%  [422]      1/10             3 android/widget/FrameLayout.setForeground (Landroid/graphics/drawable/Drawable;)V
[672]    0.0%                    10+0             26 android/graphics/drawable/Drawable.isStateful ()Z
               100.0%   excl                      26
----------------------------------------------------
               100.0%  [521]      2/2             26 android/view/View.invalidateDrawable (Landroid/graphics/drawable/Drawable;)V
[673]    0.0%                     2+0             26 android/view/View.invalidate (IIII)V
                38.5%   excl                      10
                61.5%  [304]      2/87            16 android/view/View.skipInvalidate ()Z
----------------------------------------------------
               100.0%  [625]      1/1             25 android/app/FragmentManagerImpl.dispatchCreate ()V
[674]    0.0%                     1+0             25 android/app/FragmentManagerImpl.moveToState (IZ)V
                80.0%   excl                      20
                20.0%  [871]      1/1              5 android/app/FragmentManagerImpl.moveToState (IIIZ)V
----------------------------------------------------
               100.0%   [67]      7/7             25 android/view/ViewGroup.addViewInner (Landroid/view/View;ILandroid/view/ViewGroup$LayoutParams;Z)V
[675]    0.0%                     7+0             25 android/widget/LinearLayout.checkLayoutParams (Landroid/view/ViewGroup$LayoutParams;)Z
               100.0%   excl                      25
----------------------------------------------------
               100.0%  [123]      6/6             25 android/widget/TextView.setText (Ljava/lang/CharSequence;Landroid/widget/TextView$BufferType;ZI)V
[676]    0.0%                     6+0             25 android/widget/TextView.onTextChanged (Ljava/lang/CharSequence;III)V
               100.0%   excl                      25
----------------------------------------------------
               100.0%  [433]      1/1             25 com/android/internal/policy/impl/PhoneWindow$DecorView.drawableChanged ()V
[677]    0.0%                     1+0             25 com/android/internal/policy/impl/PhoneWindow.access$1300 (Lcom/android/internal/policy/impl/PhoneWindow;I)V
                28.0%   excl                       7
                72.0%  [723]      1/1             18 android/view/Window.setDefaultWindowFormat (I)V
----------------------------------------------------
               100.0%  [111]      1/1             25 com/android/internal/app/ActionBarImpl.init (Landroid/view/View;)V
[678]    0.0%                     1+0             25 com/android/internal/view/ActionBarPolicy.enableHomeButtonByDefault ()Z
                28.0%   excl                       7
                72.0%  [219]      1/37            18 android/content/ContextWrapper.getApplicationInfo ()Landroid/content/pm/ApplicationInfo;
----------------------------------------------------
               100.0%  [341]      1/1             25 android/os/Bundle.getPairValue ()Ljava/lang/String;
[679]    0.0%                     1+0             25 java/util/HashMap$Values.iterator ()Ljava/util/Iterator;
                20.0%   excl                       5
                80.0%  [709]      1/1             20 java/util/HashMap.newValueIterator ()Ljava/util/Iterator;
----------------------------------------------------
                50.0%  [320]      1/2             12 android/app/Activity.getWindowMode ()I
                50.0%   [84]      1/2             12 android/app/ActivityThread.acquireProvider (Landroid/content/Context;Ljava/lang/String;Z)Landroid/content/IContentProvider;
[680]    0.0%                     2+0             24 android/app/ActivityManagerNative.getDefault ()Landroid/app/IActivityManager;
                70.8%   excl                      17
                29.2%  [838]      2/2              7 android/util/Singleton.get ()Ljava/lang/Object;
----------------------------------------------------
                50.0%  [529]      5/10            12 android/graphics/Bitmap.getScaledHeight (I)I
                50.0%  [524]      5/10            12 android/graphics/Bitmap.getScaledWidth (I)I
[681]    0.0%                    10+0             24 android/graphics/Bitmap.scaleFromDensity (III)I
               100.0%   excl                      24
----------------------------------------------------
                50.0%  [236]      4/8             12 android/graphics/drawable/DrawableContainer.selectDrawable (I)Z
                50.0%  [346]      4/8             12 android/widget/ImageView.updateDrawable (Landroid/graphics/drawable/Drawable;)V
[682]    0.0%                     8+0             24 android/graphics/drawable/Drawable.setLevel (I)Z
               100.0%   excl                      24
----------------------------------------------------
               100.0%    [0]      1/1             24 (toplevel)
[683]    0.0%                     1+0             24 android/os/Debug.stopMethodTracing ()V
               100.0%   excl                      24
                 0.0%  [952]      1/1              0 dalvik/system/VMDebug.stopMethodTracing ()V
----------------------------------------------------
               100.0%   [22]      3/3             24 android/widget/TextView.<init> (Landroid/content/Context;Landroid/util/AttributeSet;I)V
[684]    0.0%                     3+0             24 android/text/Editable$Factory.getInstance ()Landroid/text/Editable$Factory;
               100.0%   excl                      24
----------------------------------------------------
               100.0%   [52]      5/5             24 android/widget/ImageView.<init> (Landroid/content/Context;Landroid/util/AttributeSet;I)V
[685]    0.0%                     5+0             24 android/widget/ImageView.setAdjustViewBounds (Z)V
                75.0%   excl                      18
                25.0%  [774]      2/4              6 android/widget/ImageView.setScaleType (Landroid/widget/ImageView$ScaleType;)V
----------------------------------------------------
               100.0%  [492]      8/8             24 java/lang/AbstractStringBuilder.toString ()Ljava/lang/String;
[686]    0.0%                     8+0             24 java/lang/String.<init> (II[C)V
               100.0%   excl                      24
----------------------------------------------------
               100.0%  [387]      2/2             24 java/util/regex/Splitter.finishSplit (Ljava/util/List;Ljava/lang/String;III)[Ljava/lang/String;
[687]    0.0%                     2+0             24 java/util/ArrayList.toArray ([Ljava/lang/Object;)[Ljava/lang/Object;
                58.3%   excl                      14
                41.7%  [259]      2/61            10 java/lang/System.arraycopy (Ljava/lang/Object;ILjava/lang/Object;II)V
----------------------------------------------------
                58.3%  [602]      1/2             14 android/provider/Settings$NameValueCache.<init> (Ljava/lang/String;Landroid/net/Uri;Ljava/lang/String;)V
                41.7%  [406]      1/2             10 android/os/Bundle.unparcel ()V
[688]    0.0%                     2+0             24 java/util/HashMap.<init> ()V
                75.0%   excl                      18
                25.0%  [868]      2/2              6 java/util/AbstractMap.<init> ()V
----------------------------------------------------
               100.0%  [474]      2/2             23 android/content/res/AssetManager$AssetInputStream.<init> (Landroid/content/res/AssetManager;I)V
[689]    0.0%                     2+0             23 android/content/res/AssetManager.access$100 (Landroid/content/res/AssetManager;I)J
                52.2%   excl                      12
                47.8%  [790]      2/2             11 android/content/res/AssetManager.getAssetLength (I)J
----------------------------------------------------
               100.0%   [22]      6/6             23 android/widget/TextView.<init> (Landroid/content/Context;Landroid/util/AttributeSet;I)V
[690]    0.0%                     6+0             23 android/graphics/Paint.setCompatibilityScaling (F)V
               100.0%   excl                      23
----------------------------------------------------
               100.0%  [427]      1/1             23 android/graphics/drawable/NinePatchDrawable.<init> (Landroid/content/res/Resources;Landroid/graphics/Bitmap;[BLandroid/graphics/Rect;Landroid/graphics/Rect;Ljava/lang/String;)V
[691]    0.0%                     1+0             23 android/graphics/drawable/NinePatchDrawable$NinePatchState.<init> (Landroid/graphics/NinePatch;Landroid/graphics/Rect;Landroid/graphics/Rect;)V
                21.7%   excl                       5
                78.3%  [719]      1/1             18 android/graphics/drawable/NinePatchDrawable$NinePatchState.<init> (Landroid/graphics/NinePatch;Landroid/graphics/Rect;Landroid/graphics/Rect;Z)V
----------------------------------------------------
               100.0%    [6]      5/5             23 android/view/LayoutInflater.inflate (Lorg/xmlpull/v1/XmlPullParser;Landroid/view/ViewGroup;Z)Landroid/view/View;
[692]    0.0%                     5+0             23 android/util/Xml.asAttributeSet (Lorg/xmlpull/v1/XmlPullParser;)Landroid/util/AttributeSet;
               100.0%   excl                      23
----------------------------------------------------
               100.0%  [204]      1/1             23 android/view/accessibility/AccessibilityManager.<init> (Landroid/content/Context;Landroid/view/accessibility/IAccessibilityManager;)V
[693]    0.0%                     1+0             23 android/view/accessibility/AccessibilityManager.setState (I)V
                78.3%   excl                      18
                21.7%  [883]      1/1              5 android/view/accessibility/AccessibilityManager.setAccessibilityState (Z)V
----------------------------------------------------
               100.0%  [450]      3/3             23 android/view/View.dispatchVisibilityChanged (Landroid/view/View;I)V
[694]    0.0%                     3+0             23 android/widget/TextView.onVisibilityChanged (Landroid/view/View;I)V
                60.9%   excl                      14
                39.1%  [620]      3/12             9 android/view/View.onVisibilityChanged (Landroid/view/View;I)V
----------------------------------------------------
               100.0%   [90]      1/1             23 com/android/internal/app/ActionBarImpl.<init> (Landroid/app/Activity;)V
[695]    0.0%                     1+0             23 com/android/internal/app/ActionBarImpl$1.<init> (Lcom/android/internal/app/ActionBarImpl;)V
                56.5%   excl                      13
                43.5%  [766]      1/2             10 android/animation/AnimatorListenerAdapter.<init> ()V
----------------------------------------------------
                50.0%  [236]      4/8             11 android/graphics/drawable/DrawableContainer.selectDrawable (I)Z
                50.0%   [45]      4/8             11 android/graphics/drawable/StateListDrawable.<init> (Landroid/graphics/drawable/StateListDrawable$StateListState;Landroid/content/res/Resources;)V
[696]    0.0%                     8+0             22 android/graphics/drawable/Drawable.getState ()[I
               100.0%   excl                      22
----------------------------------------------------
               100.0%  [558]      2/2             22 android/os/Parcel.createByteArray ()[B
[697]    0.0%                     2+0             22 android/os/Parcel.nativeCreateByteArray (I)[B
               100.0%   excl                      22
----------------------------------------------------
               100.0%  [514]      1/1             22 android/widget/RelativeLayout$DependencyGraph.<init> ()V
[698]    0.0%                     1+0             22 android/util/SparseArray.<init> ()V
                22.7%   excl                       5
                77.3%  [731]      1/1             17 android/util/SparseArray.<init> (I)V
----------------------------------------------------
               100.0%  [123]      6/6             22 android/widget/TextView.setText (Ljava/lang/CharSequence;Landroid/widget/TextView$BufferType;ZI)V
[699]    0.0%                     6+0             22 android/widget/TextView.sendOnTextChanged (Ljava/lang/CharSequence;III)V
               100.0%   excl                      22
----------------------------------------------------
                52.4%  [231]      1/2             11 java/util/HashMap.get (Ljava/lang/Object;)Ljava/lang/Object;
                47.6%  [205]      1/2             10 java/util/HashMap.put (Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;
[700]    0.0%                     2+0             21 android/app/ApplicationPackageManager$ResourceName.hashCode ()I
                71.4%   excl                      15
                28.6%  [273]      2/129            6 java/lang/String.hashCode ()I
----------------------------------------------------
               100.0%  [190]      1/1             21 android/sec/enterprise/EnterpriseDeviceManager.getApplicationPolicy ()Landroid/sec/enterprise/ApplicationPolicy;
[701]    0.0%                     1+0             21 android/sec/enterprise/ApplicationPolicy.<clinit> ()V
               100.0%   excl                      21
----------------------------------------------------
               100.0%  [519]      2/2             21 android/app/Activity.getSystemService (Ljava/lang/String;)Ljava/lang/Object;
[702]    0.0%                     2+0             21 android/view/ContextThemeWrapper.getSystemService (Ljava/lang/String;)Ljava/lang/Object;
                71.4%   excl                      15
                28.6%  [282]      2/118            6 java/lang/String.equals (Ljava/lang/Object;)Z
----------------------------------------------------
               100.0%  [543]      7/7             21 android/view/View.clearAccessibilityFocus ()V
[703]    0.0%                     7+0             21 android/view/View.getViewRootImpl ()Landroid/view/ViewRootImpl;
               100.0%   excl                      21
----------------------------------------------------
                71.4%  [187]      5/7             15 android/view/Window.findViewById (I)Landroid/view/View;
                14.3%   [86]      1/7              3 android/app/Activity.initActionBar ()V
                14.3%   [90]      1/7              3 com/android/internal/app/ActionBarImpl.<init> (Landroid/app/Activity;)V
[704]    0.0%                     7+0             21 com/android/internal/policy/impl/PhoneWindow.getDecorView ()Landroid/view/View;
               100.0%   excl                      21
----------------------------------------------------
               100.0%   [84]      1/1             20 android/app/ActivityThread.acquireProvider (Landroid/content/Context;Ljava/lang/String;Z)Landroid/content/IContentProvider;
[705]    0.0%                     1+0             20 android/app/ActivityThread.acquireExistingProvider (Landroid/content/Context;Ljava/lang/String;Z)Landroid/content/IContentProvider;
                40.0%   excl                       8
                60.0%  [231]      1/45            12 java/util/HashMap.get (Ljava/lang/Object;)Ljava/lang/Object;
----------------------------------------------------
               100.0%   [26]      1/1             20 android/content/pm/PackageItemInfo.loadIcon (Landroid/content/pm/PackageManager;)Landroid/graphics/drawable/Drawable;
[706]    0.0%                     1+0             20 android/app/ApplicationPackageManager.getCSCPackageItemIcon (Ljava/lang/String;)Landroid/graphics/drawable/Drawable;
                60.0%   excl                      12
                20.0%  [888]      1/1              4 android/app/ActivityThread.getCSCAppIconMap ()Ljava/util/HashMap;
                20.0%  [846]      1/2              4 java/util/HashMap.size ()I
----------------------------------------------------
               100.0%  [171]      1/1             20 android/app/Activity.onCreate (Landroid/os/Bundle;)V
[707]    0.0%                     1+0             20 android/content/ContextWrapper.getApplicationContext ()Landroid/content/Context;
                35.0%   excl                       7
                65.0%  [768]      1/1             13 android/app/ContextImpl.getApplicationContext ()Landroid/content/Context;
----------------------------------------------------
               100.0%  [177]      1/1             20 java/lang/Class.classForName (Ljava/lang/String;ZLjava/lang/ClassLoader;)Ljava/lang/Class;
[708]    0.0%                     1+0             20 com/android/internal/policy/impl/multiwindow/MultiPhoneWindowEvent.<clinit> ()V
               100.0%   excl                      20
----------------------------------------------------
               100.0%  [679]      1/1             20 java/util/HashMap$Values.iterator ()Ljava/util/Iterator;
[709]    0.0%                     1+0             20 java/util/HashMap.newValueIterator ()Ljava/util/Iterator;
                35.0%   excl                       7
                65.0%  [776]      1/1             13 java/util/HashMap$ValueIterator.<init> (Ljava/util/HashMap;Ljava/util/HashMap$1;)V
----------------------------------------------------
               100.0%  [341]      1/1             20 android/os/Bundle.getPairValue ()Ljava/lang/String;
[710]    0.0%                     1+0             20 java/util/HashMap.values ()Ljava/util/Collection;
                30.0%   excl                       6
                70.0%  [765]      1/1             14 java/util/HashMap$Values.<init> (Ljava/util/HashMap;Ljava/util/HashMap$1;)V
----------------------------------------------------
               100.0%  [389]      1/1             19 android/app/ActivityThread.getTopLevelResources (Ljava/lang/String;Landroid/content/res/CompatibilityInfo;)Landroid/content/res/Resources;
[711]    0.0%                     1+0             19 android/app/ActivityThread$ResourcesKey.<init> (Ljava/lang/String;F)V
                68.4%   excl                      13
                31.6%  [273]      1/129            6 java/lang/String.hashCode ()I
----------------------------------------------------
               100.0%  [417]      2/2             19 android/content/res/AssetManager$AssetInputStream.close ()V
[712]    0.0%                     2+0             19 android/content/res/AssetManager.access$500 (Landroid/content/res/AssetManager;I)V
                68.4%   excl                      13
                31.6%  [848]      2/2              6 android/content/res/AssetManager.decRefsLocked (I)V
----------------------------------------------------
               100.0%  [653]      2/2             19 android/content/res/AssetManager$AssetInputStream.mark (I)V
[713]    0.0%                     2+0             19 android/content/res/AssetManager.access$600 (Landroid/content/res/AssetManager;IJI)J
                63.2%   excl                      12
                36.8%  [836]      2/2              7 android/content/res/AssetManager.seekAsset (IJI)J
----------------------------------------------------
                68.4%  [107]      4/6             13 android/content/res/AssetManager.openXmlBlockAsset (ILjava/lang/String;)Landroid/content/res/XmlBlock;
                31.6%  [261]      2/6              6 android/content/res/AssetManager.openNonAsset (ILjava/lang/String;I)Ljava/io/InputStream;
[714]    0.0%                     6+0             19 android/content/res/AssetManager.incRefsLocked (I)V
               100.0%   excl                      19
----------------------------------------------------
               100.0%  [556]      1/1             19 android/graphics/drawable/BitmapDrawable.getOpacity ()I
[715]    0.0%                     1+0             19 android/graphics/Paint.getAlpha ()I
               100.0%   excl                      19
----------------------------------------------------
               100.0%  [182]      1/1             19 android/view/ViewConfiguration.<init> (Landroid/content/Context;)V
[716]    0.0%                     1+0             19 android/view/Display.getRawWidth ()I
                52.6%   excl                      10
                47.4%  [814]      1/1              9 android/view/Display.getRawWidthNative ()I
----------------------------------------------------
               100.0%  [626]      1/1             18 android/content/pm/PackageItemInfo.loadLogo (Landroid/content/pm/PackageManager;)Landroid/graphics/drawable/Drawable;
[717]    0.0%                     1+0             18 android/content/pm/ComponentInfo.loadDefaultLogo (Landroid/content/pm/PackageManager;)Landroid/graphics/drawable/Drawable;
                44.4%   excl                       8
                55.6%  [626]      1/3             10 android/content/pm/PackageItemInfo.loadLogo (Landroid/content/pm/PackageManager;)Landroid/graphics/drawable/Drawable;
----------------------------------------------------
               100.0%  [402]      6/6             18 android/graphics/drawable/LayerDrawable.getConstantState ()Landroid/graphics/drawable/Drawable$ConstantState;
[718]    0.0%                     6+0             18 android/graphics/drawable/LayerDrawable$LayerState.canConstantState ()Z
               100.0%   excl                      18
----------------------------------------------------
               100.0%  [691]      1/1             18 android/graphics/drawable/NinePatchDrawable$NinePatchState.<init> (Landroid/graphics/NinePatch;Landroid/graphics/Rect;Landroid/graphics/Rect;)V
[719]    0.0%                     1+0             18 android/graphics/drawable/NinePatchDrawable$NinePatchState.<init> (Landroid/graphics/NinePatch;Landroid/graphics/Rect;Landroid/graphics/Rect;Z)V
                66.7%   excl                      12
                16.7%  [922]      1/1              3 android/graphics/Insets.of (Landroid/graphics/Rect;)Landroid/graphics/Insets;
                16.7%  [557]      1/16             3 android/graphics/drawable/Drawable$ConstantState.<init> ()V
----------------------------------------------------
               100.0%  [499]      1/1             18 android/os/Parcel.<init> (I)V
[720]    0.0%                     1+0             18 android/os/Parcel.init (I)V
                44.4%   excl                       8
                55.6%  [807]      1/1             10 android/os/Parcel.nativeCreate ()I
----------------------------------------------------
               100.0%  [619]      3/3             18 android/os/Parcel.setDataPosition (I)V
[721]    0.0%                     3+0             18 android/os/Parcel.nativeSetDataPosition (II)V
               100.0%   excl                      18
----------------------------------------------------
               100.0%  [539]      1/1             18 android/view/ViewRootImpl$RunQueue.postDelayed (Ljava/lang/Runnable;J)V
[722]    0.0%                     1+0             18 android/view/ViewRootImpl$RunQueue$HandlerAction.<init> (Landroid/view/ViewRootImpl$1;)V
                77.8%   excl                      14
                22.2%  [901]      1/1              4 android/view/ViewRootImpl$RunQueue$HandlerAction.<init> ()V
----------------------------------------------------
               100.0%  [677]      1/1             18 com/android/internal/policy/impl/PhoneWindow.access$1300 (Lcom/android/internal/policy/impl/PhoneWindow;I)V
[723]    0.0%                     1+0             18 android/view/Window.setDefaultWindowFormat (I)V
                55.6%   excl                      10
                27.8%  [727]      1/4              5 android/app/Activity.onWindowAttributesChanged (Landroid/view/WindowManager$LayoutParams;)V
                16.7%  [761]      1/5              3 android/view/Window.getAttributes ()Landroid/view/WindowManager$LayoutParams;
----------------------------------------------------
               100.0%   [22]      3/3             18 android/widget/TextView.<init> (Landroid/content/Context;Landroid/util/AttributeSet;I)V
[724]    0.0%                     3+0             18 android/widget/TextView.getDefaultMovementMethod ()Landroid/text/method/MovementMethod;
               100.0%   excl                      18
----------------------------------------------------
               100.0%   [22]      3/3             18 android/widget/TextView.<init> (Landroid/content/Context;Landroid/util/AttributeSet;I)V
[725]    0.0%                     3+0             18 android/widget/TextView.setRelativeDrawablesIfNeeded (Landroid/graphics/drawable/Drawable;Landroid/graphics/drawable/Drawable;)V
               100.0%   excl                      18
----------------------------------------------------
               100.0%    [7]      1/1             18 com/android/internal/policy/impl/PhoneWindow.generateLayout (Lcom/android/internal/policy/impl/PhoneWindow$DecorView;)Landroid/view/ViewGroup;
[726]    0.0%                     1+0             18 com/android/internal/policy/impl/PhoneWindow.requestFeature (I)Z
                61.1%   excl                      11
                22.2%  [903]      1/1              4 android/view/Window.requestFeature (I)Z
                16.7%  [784]      1/5              3 android/view/Window.getFeatures ()I
----------------------------------------------------
                70.6%  [480]      3/4             12 android/view/Window.setFlags (II)V
                29.4%  [723]      1/4              5 android/view/Window.setDefaultWindowFormat (I)V
[727]    0.0%                     4+0             17 android/app/Activity.onWindowAttributesChanged (Landroid/view/WindowManager$LayoutParams;)V
               100.0%   excl                      17
----------------------------------------------------
               100.0%   [26]      1/1             17 android/content/pm/PackageItemInfo.loadIcon (Landroid/content/pm/PackageManager;)Landroid/graphics/drawable/Drawable;
[728]    0.0%                     1+0             17 android/content/pm/ApplicationInfo.getApplicationInfo ()Landroid/content/pm/ApplicationInfo;
               100.0%   excl                      17
----------------------------------------------------
               100.0%  [609]      2/2             17 android/graphics/drawable/DrawableContainer.getConstantState ()Landroid/graphics/drawable/Drawable$ConstantState;
[729]    0.0%                     2+0             17 android/graphics/drawable/DrawableContainer.getChangingConfigurations ()I
                70.6%   excl                      12
                29.4%  [449]      2/43             5 android/graphics/drawable/Drawable.getChangingConfigurations ()I
----------------------------------------------------
                70.6%  [611]      2/3             12 android/os/UserId.myUserId ()I
                29.4%  [343]      1/3              5 android/app/ApplicationPackageManager.getResourcesForApplication (Landroid/content/pm/ApplicationInfo;)Landroid/content/res/Resources;
[730]    0.0%                     3+0             17 android/os/Process.myUid ()I
               100.0%   excl                      17
----------------------------------------------------
               100.0%  [698]      1/1             17 android/util/SparseArray.<init> ()V
[731]    0.0%                     1+0             17 android/util/SparseArray.<init> (I)V
                47.1%   excl                       8
                52.9%  [819]      1/1              9 com/android/internal/util/ArrayUtils.idealIntArraySize (I)I
----------------------------------------------------
               100.0%  [123]      6/6             17 android/widget/TextView.setText (Ljava/lang/CharSequence;Landroid/widget/TextView$BufferType;ZI)V
[732]    0.0%                     6+0             17 android/widget/TextView.isSuggestionsEnabled ()Z
               100.0%   excl                      17
----------------------------------------------------
               100.0%  [204]      1/1             16 android/view/accessibility/AccessibilityManager.<init> (Landroid/content/Context;Landroid/view/accessibility/IAccessibilityManager;)V
[733]    0.0%                     1+0             16 android/content/ContextWrapper.getMainLooper ()Landroid/os/Looper;
                37.5%   excl                       6
                62.5%  [804]      1/1             10 android/app/ContextImpl.getMainLooper ()Landroid/os/Looper;
----------------------------------------------------
               100.0%   [66]      4/4             16 android/content/res/StringBlock.get (I)Ljava/lang/CharSequence;
[734]    0.0%                     4+0             16 android/content/res/StringBlock.nativeGetSize (I)I
               100.0%   excl                      16
----------------------------------------------------
               100.0%  [411]      5/5             16 android/content/res/XmlBlock$Parser.<init> (Landroid/content/res/XmlBlock;ILandroid/content/res/XmlBlock;)V
[735]    0.0%                     5+0             16 android/content/res/XmlBlock.access$008 (Landroid/content/res/XmlBlock;)I
               100.0%   excl                      16
----------------------------------------------------
               100.0%  [589]      5/5             16 android/content/res/XmlBlock.access$1600 (Landroid/content/res/XmlBlock;)V
[736]    0.0%                     5+0             16 android/content/res/XmlBlock.decOpenCountLocked ()V
               100.0%   excl                      16
----------------------------------------------------
                56.2%   [58]      4/6              9 android/view/View.setBackgroundDrawable (Landroid/graphics/drawable/Drawable;)V
                43.8%  [325]      2/6              7 android/view/View.drawableStateChanged ()V
[737]    0.0%                     6+0             16 android/graphics/drawable/StateListDrawable.isStateful ()Z
               100.0%   excl                      16
----------------------------------------------------
               100.0%  [188]      1/1             16 android/content/ContentProviderProxy.call (Ljava/lang/String;Ljava/lang/String;Landroid/os/Bundle;)Landroid/os/Bundle;
[738]    0.0%                     1+0             16 android/os/Parcel.writeBundle (Landroid/os/Bundle;)V
                43.8%   excl                       7
                56.2%  [515]      1/8              9 android/os/Parcel.writeInt (I)V
----------------------------------------------------
               100.0%    [5]      5/5             16 android/view/LayoutInflater.inflate (ILandroid/view/ViewGroup;Z)Landroid/view/View;
[739]    0.0%                     5+0             16 android/view/LayoutInflater.getContext ()Landroid/content/Context;
               100.0%   excl                      16
----------------------------------------------------
                62.5%  [257]      3/5             10 android/view/View.setEnabled (Z)V
                37.5%   [16]      2/5              6 com/android/internal/widget/ActionBarView.setDisplayOptions (I)V
